"temperature","salinity_m","n_strains","mean_max_dg_OD","sd_max_dg_OD","median_max_dg_OD","min_max_dg_OD","max_max_dg_OD","mean_AUC","sd_AUC"
"4C","0",23,139.76,105.92,133.09,8.39,341.37,655.92,550.38
"4C","0.5",11,78.96,82.84,43.78,22.3,308.96,384.15,483.65
"4C","1",11,111.68,84.35,98.95,23.87,251.61,475.18,398.22
"4C","1.5",11,77.27,60.57,52.03,14.88,196.81,400.44,364.47
"15C","0",23,103.04,84.25,86.51,1.28,314.35,532.81,489
"15C","0.5",11,57.65,31.51,49.26,31.56,131.19,337.47,211.24
"15C","1",11,58.98,24.99,53.75,27.97,105.62,347.44,159.15
"15C","1.5",11,136.77,116.49,75.68,25.24,329.12,591.56,416.02
"30C","0",23,132.56,164.58,81.42,1.96,735,638.49,700.83
"30C","0.5",8,70.05,34.34,66.57,15.53,120.49,409.92,232.96
"30C","1",8,50.94,24.86,41.91,34.4,110.77,306.49,199.25
"30C","1.5",8,65.36,77.35,42.57,22.88,254.66,397.57,585.06
