"contrast","temperature","estimate","SE","df","t.ratio","p.value","significance"
"salinity_m0.5 - salinity_m1","4C",-0.157295093942027,0.11833614792346,71.0427064455849,-1.32922269908402,0.383841198821365,"ns"
"salinity_m0.5 - salinity_m1.5","4C",-0.0133898415349973,0.11833614792346,71.0427064455849,-0.113150899112061,0.992967012243237,"ns"
"salinity_m1 - salinity_m1.5","4C",0.14390525240703,0.11833614792346,71.0427064455849,1.21607179997196,0.447692008150755,"ns"
"salinity_m0.5 - salinity_m1","15C",-0.0227020599748162,0.11833614792346,71.0427064455845,-0.19184383109631,0.979920604975874,"ns"
"salinity_m0.5 - salinity_m1.5","15C",-0.247373910358136,0.11833614792346,71.0427064455845,-2.09043402797036,0.0990534025311548,"ns"
"salinity_m1 - salinity_m1.5","15C",-0.22467185038332,0.11833614792346,71.0427064455849,-1.89859019687405,0.146546618429405,"ns"
"salinity_m0.5 - salinity_m1","30C",0.103040272575227,0.138761433294249,71.0427064455849,0.742571405678166,0.73907161783031,"ns"
"salinity_m0.5 - salinity_m1.5","30C",0.109580835113044,0.138761433294249,71.0427064455849,0.789706711090778,0.710545550673248,"ns"
"salinity_m1 - salinity_m1.5","30C",0.00654056253781626,0.138761433294249,71.0427064455849,0.0471353054126124,0.998775869076876,"ns"
