"strain","max_ever","mean_all","max_at_4C","max_at_30C","max_AUC_4C","max_AUC_30C","n_conditions","producer_class","CSI","CSI_class","species","environment","wgs_code","has_lipopeptide_bgc","bgc_type_lipopeptide"
"4-2A1",314.25,171.922342621259,49.4117647058825,314.25,285.446111508032,2009.7044534413,3,"High",0.142033875189584,"Warm-preferred","Virgibacillus sp.","Qaidam","A13",FALSE,NA
"4-2C3",210.8,136.992761537638,93.1818181818181,106.996466431095,440.040654997176,765.970876768869,3,"High",0.574487448992082,"Warm-preferred","B. zhangzhouensis","Qaidam","A8",TRUE,"Lichenysin"
"4-2C6",189.855072463768,133.703530886535,189.855072463768,49.9755201958384,1033.15064242463,425.043301418414,3,"High",2.43069503501619,"Cold-stimulated",NA,NA,NA,NA,NA
"C8-P4",274.705882352941,177.743576277434,194.210526315789,274.705882352941,773.521417795556,1292.85546646885,6,"High",0.598304634862441,"Warm-preferred","B. zhangzhouensis","Qaidam","A14",TRUE,"Lichenysin"
"H2E-10C",329.117647058824,103.689298470776,229.877300613497,4.11764705882352,458.322500000001,6.42433210626292,9,"High",71.3416573768336,"Cold-stimulated","P. frigoritolerans","Qaidam","A6",FALSE,NA
"H5B",75.6818181818185,41.0619294502305,34.8214285714285,66.5106382978723,178.771065182829,325.999429415387,9,"Moderate",0.548378460365464,"Warm-preferred","B. thuringiensis","Qaidam","A10",FALSE,NA
"H5G",136.907730673317,42.5481747489059,38.8235294117648,136.907730673317,210.247955918947,465.384764918309,9,"Moderate",0.451772322103954,"Warm-preferred","B. thuringiensis","Qaidam","A7",FALSE,NA
"KR108",735,303.793888769901,43.1304347826088,735,142.377434047034,2505.01021300237,3,"High",0.0568370672933857,"Warm-preferred","Kocuria rosea","Marine","L3",FALSE,NA
"KR141",50.3508771929825,39.682260169218,42.0430107526881,50.3508771929825,152.870688610258,116.176676304776,3,"Low",1.31584663525078,"Neutral","Sphingobium sp.","Marine","L2",FALSE,NA
"M2-3-i9",305.9375,124.172951763825,232.173913043478,305.9375,1144.52560386473,1113.81661374989,12,"High",1.0275709571358,"Neutral","B. zhangzhouensis","Qaidam","A9",TRUE,"Lichenysin"
"M2-6B2",308.958333333333,132.815408473268,308.958333333333,254.656488549618,1771.51952443088,1832.68861448973,12,"High",0.966623304376297,"Neutral",NA,NA,NA,NA,NA
"SW1B1",263.94495412844,97.5470378501189,227.037037037037,113.629343629344,1105.89482544746,635.426935787414,12,"High",1.74039651636272,"Cold-stimulated","B. zhangzhouensis","Qaidam","A4",TRUE,"Lichenysin"
"SW1B2",133.093415007657,103.765639683595,133.093415007657,97.0714285714285,505.321716089619,284.204830493451,3,"Moderate",1.77801944890329,"Cold-stimulated",NA,NA,NA,NA,NA
"SW1C-HB20",308.467741935484,91.8356102085865,308.467741935484,105.441860465116,1661.52984152882,593.241118232846,15,"High",2.80076648509835,"Cold-stimulated","B. zhangzhouensis","Qaidam","A1",TRUE,"Lichenysin"
"SW1C2",266.578947368421,146.116511867905,266.578947368421,69.9666666666667,1129.83681798078,360.31968736927,3,"High",3.13565108315295,"Cold-stimulated",NA,NA,NA,NA,NA
"SW2B-HB1",341.36563876652,319.82867152464,341.36563876652,303.769230769231,2153.18058262142,2035.41866181537,3,"High",1.05785636292684,"Neutral","Peribacillus sp.","Qaidam","A11",FALSE,NA
"SW2B2",278.345864661654,63.0555385087353,101.545454545455,63.1437125748503,608.342266129041,217.359765934732,12,"High",2.79878046202769,"Cold-stimulated","B. zhangzhouensis","Qaidam","A5",TRUE,"Lichenysin"
"SW2BHB1",131.190476190476,88.1194938411364,117.772277227723,120.490341753343,557.808941496162,840.398396804419,9,"Moderate",0.663743462168904,"Warm-preferred","B. pumilus","Qaidam","A12",TRUE,"Lichenysin"
"SW2C3",213.529411764706,77.6573722182027,213.529411764706,63.0555555555556,1161.14013758228,505.393196406454,12,"High",2.29749855328178,"Cold-stimulated","B. zhangzhouensis","Qaidam","A2",TRUE,"Surfactin"
"SW4C6",240.483870967742,74.436307094249,106.312769010043,76.7916666666667,610.344429187263,553.069776546851,12,"High",1.10355773370588,"Neutral","B. zhangzhouensis","Qaidam","A3",TRUE,"Lichenysin"
"SX203",15.6831683168317,6.60535873232163,15.6831683168317,2.73584905660377,79.230645703427,16.1349141239635,3,"Low",4.91050929026973,"Cold-stimulated","Sphingobium sp.","Marine","L1",FALSE,NA
"SX206",8.82352941176504,4.02091399295861,8.82352941176504,1.96261682242991,37.8781674276189,11.2803424224265,3,"Low",3.35789163211155,"Cold-stimulated",NA,NA,NA,NA,NA
